Phytochemical,Molecular_Weight,XLogP,H_Bond_Donors,H_Bond_Acceptor
(-)-Anaferine,224.34,0.8,2.0,3.0
"2,3-Dehydrosomnifericin",488.6,2.8,4.0,7.0
"2,3-Didehydrosomnifericin",488.6,2.8,4.0,7.0
"2,3-Dihydrowithaferin A",472.6,3.8,2.0,6.0
Anaferine,224.34,0.8,2.0,3.0
Choline,104.17,-0.4,1.0,1.0
Cuscohygrine,224.34,1.0,0.0,3.0
Cysteine,121.16,-2.5,3.0,4.0
Cystine,240.3,-6.3,4.0,8.0
D-Glucose,180.16,-2.6,5.0,6.0
Dihydrowithaferin A,472.6,3.8,2.0,6.0
Esculetin,178.14,1.2,2.0,4.0
Gamma-Aminobutyric Acid,103.12,-3.2,2.0,3.0
Hydroxyproline,131.13,-3.3,3.0,4.0
Hygrine,141.21,0.5,0.0,2.0
Isopelletierine,141.21,0.4,1.0,2.0
Nicotine,162.23,1.2,0.0,2.0
Pelletierine,141.21,0.4,1.0,2.0
Pseudotropine,141.21,0.8,1.0,2.0
Quercetin,302.23,1.5,5.0,7.0
Quinic Acid,192.17,-2.4,5.0,6.0
Scopoletin,192.17,1.5,1.0,4.0
Sominone,458.6,4.7,3.0,5.0
Somnifericin,490.6,2.8,4.0,7.0
Tropine,141.21,0.8,1.0,2.0
Viscosalactone B,488.6,2.8,3.0,7.0
Withaferin A,470.6,3.8,2.0,6.0
Withanicandrin,468.6,3.0,1.0,6.0
Withanolide A,470.6,3.3,2.0,6.0
Withanolide B,454.6,4.7,1.0,5.0
Withanolide D,470.6,3.1,2.0,6.0
Withanolide E,486.6,1.7,3.0,7.0
Withanolide F,470.6,2.3,3.0,6.0
Withanolide L,452.6,2.9,2.0,5.0
Withanone,470.6,3.1,2.0,6.0
Withasomnine,184.24,2.2,0.0,1.0
