Name,Molecular_Weight,XLogP,H-Bond_Donor_Count,H-Bond_Acceptor_Count
Withanolide D,470.6,3.1,2,6
Withanolide B,454.6,4.7,1,5
Withanolide A,470.6,3.3,2,6
Withanolid D,470.6,3.1,2,6
Withanolide E,486.6,1.7,3,7
Withanolide,470.6,3.1,2,6
"3-hydroxy-2,3-dihydrowithanolide F",488.6,1.2,4,7
17Beta-Hydroxywithanolide K,470.6,2.3,3,6
Npc158307,470.6,3.1,2,6
AC1L4Puz,470.6,3.1,2,6
"17,20-Dihydroxy-22,26-epoxyergosta-2,5,14,24-tetraene-1,26-dione",452.6,2.9,2,5
"15-[1-(4,5-dimethyl-6-oxo-3,6-dihydro-2H-pyran-2-yl)-1-hydroxyethyl]-5-hydroxy-10,14-dimethyl-3-oxapentacyclo[9.7.0.0^{2,4}.0^{5,10}.0^{14,18}]octadec-7-en-9-one",470.6,3.3,2,6
CID 14236712,454.6,4.7,1,5
