Phytochemical,CID,Molecular_Formula,Molecular_Weight,XLogP,H_Bond_Donors,H_Bond_Acceptor,Rotatable_Bonds,MW_Pass,LogP_Pass,HBD_Pass,HBA_Pass,Drug_Like
(-)-Anaferine,443143.0,C13H24N2O,224.34,0.8,2.0,3.0,,True,True,True,True,True
"2,3-Dehydrosomnifericin",70684083.0,C28H40O7,488.6,2.8,4.0,7.0,,True,True,True,True,True
"2,3-Didehydrosomnifericin",70684083.0,C28H40O7,488.6,2.8,4.0,7.0,,True,True,True,True,True
"2,3-Dihydrowithaferin A",15411208.0,C28H40O6,472.6,3.8,2.0,6.0,,True,True,True,True,True
"24-Methyl-5-Alpha-Cholesta-8,24(28)-Dien-3-Beta-Ol",6428670.0,C28H46O,398.7,8.1,1.0,1.0,,True,False,True,True,False
"24-Methylcholesta-5,23E-Dien-3Beta-Ol",5283652.0,C28H46O,398.7,8.3,1.0,1.0,,True,False,True,True,False
"24-Methylcholesta-5,24-Dien-3Beta-Ol",193567.0,C28H46O,398.7,8.7,1.0,1.0,,True,False,True,True,False
24-Methyldesmosterol,193567.0,C28H46O,398.7,8.7,1.0,1.0,,True,False,True,True,False
4-Deoxyphysalolactone,13743195.0,C28H39ClO7,523.1,2.0,4.0,7.0,,False,True,True,True,False
"4-Hydroxy-1,26-Dioxo-5,6:22,26-Diepoxyergosta-2,24-Dien-27-Yl 6-O-Hexadecanoylhexopyranoside",189702.0,C50H78O12,871.1,9.0,4.0,12.0,,False,False,True,False,False
Anaferine,443143.0,C13H24N2O,224.34,0.8,2.0,3.0,,True,True,True,True,True
Ashwagandhanolide,16099532.0,C56H78O12S,975.3,7.5,6.0,13.0,,False,False,False,False,False
Beta Sitosterol,222284.0,C29H50O,414.7,9.3,1.0,1.0,,True,False,True,True,False
Beta-Amyrin,73145.0,C30H50O,426.7,9.2,1.0,1.0,,True,False,True,True,False
Campesterol,173183.0,C28H48O,400.7,8.8,1.0,1.0,,True,False,True,True,False
Chlorogenic Acid,1794427.0,C16H18O9,354.31,-0.4,6.0,9.0,,True,True,False,True,False
Choline,305.0,C5H14NO+,104.17,-0.4,1.0,1.0,,True,True,True,True,True
Coagulin Q,162623730.0,C34H52O10,620.8,2.5,6.0,10.0,,False,True,False,True,False
Cuscohygrine,1201543.0,C13H24N2O,224.34,1.0,0.0,3.0,,True,True,True,True,True
Cysteine,5862.0,C3H7NO2S,121.16,-2.5,3.0,4.0,,True,True,True,True,True
Cystine,67678.0,C6H12N2O4S2,240.3,-6.3,4.0,8.0,,True,True,True,True,True
Daucosterol,5742590.0,C35H60O6,576.8,7.7,4.0,6.0,,False,False,True,True,False
D-Glucose,5793.0,C6H12O6,180.16,-2.6,5.0,6.0,,True,True,True,True,True
Dihydrowithaferin A,15411208.0,C28H40O6,472.6,3.8,2.0,6.0,,True,True,True,True,True
Dulcitol,11850.0,C6H14O6,182.17,-3.1,6.0,6.0,,True,True,False,True,False
Ergosterol,444679.0,C28H44O,396.6,7.4,1.0,1.0,,True,False,True,True,False
Esculetin,5281416.0,C9H6O4,178.14,1.2,2.0,4.0,,True,True,True,True,True
Fucosterol,5281328.0,C29H48O,412.7,8.9,1.0,1.0,,True,False,True,True,False
Galactitol,11850.0,C6H14O6,182.17,-3.1,6.0,6.0,,True,True,False,True,False
Gamma-Aminobutyric Acid,119.0,C4H9NO2,103.12,-3.2,2.0,3.0,,True,True,True,True,True
Hentriacontane,12410.0,C31H64,436.8,16.4,0.0,0.0,,True,False,True,True,False
Hydrocortisone Sodium Succinate,23694214.0,C25H33NaO8,484.5,,2.0,8.0,,True,False,True,True,False
Hydroxyproline,5810.0,C5H9NO3,131.13,-3.3,3.0,4.0,,True,True,True,True,True
Hygrine,440933.0,C8H15NO,141.21,0.5,0.0,2.0,,True,True,True,True,True
Isochlorogenic Acid C,6474309.0,C25H24O12,516.4,1.5,7.0,12.0,,False,True,False,False,False
Isopelletierine,92987.0,C8H15NO,141.21,0.4,1.0,2.0,,True,True,True,True,True
Kno3,24434.0,KNO3,101.103,,0.0,3.0,,True,False,True,True,False
Linoleic Acid,5280450.0,C18H32O2,280.4,6.8,1.0,2.0,,True,False,True,True,False
Myristic Acid,11005.0,C14H28O2,228.37,5.3,1.0,2.0,,True,False,True,True,False
N-Hentriacontane,12410.0,C31H64,436.8,16.4,0.0,0.0,,True,False,True,True,False
Nicotine,89594.0,C10H14N2,162.23,1.2,0.0,2.0,,True,True,True,True,True
Octacosane,12408.0,C28H58,394.8,14.8,0.0,0.0,,True,False,True,True,False
Oleanolic Acid,10494.0,C30H48O3,456.7,7.5,2.0,3.0,,True,False,True,True,False
Oleic Acid,445639.0,C18H34O2,282.5,6.5,1.0,2.0,,True,False,True,True,False
Palmitic Acid,985.0,C16H32O2,256.42,6.4,1.0,2.0,,True,False,True,True,False
Pelletierine,3034881.0,C8H15NO,141.21,0.4,1.0,2.0,,True,True,True,True,True
Physagulin-D,10100412.0,C34H52O10,620.8,3.1,6.0,10.0,,False,True,False,True,False
Pseudotropine,449293.0,C8H15NO,141.21,0.8,1.0,2.0,,True,True,True,True,True
Quercetin,5280343.0,C15H10O7,302.23,1.5,5.0,7.0,,True,True,True,True,True
Quercetin-3-Rutinoside-7-Glucoside,10190763.0,C33H40O21,772.7,-3.1,13.0,21.0,,False,True,False,False,False
Quinic Acid,6508.0,C7H12O6,192.17,-2.4,5.0,6.0,,True,True,True,True,True
Quresimine A,10767792.0,C29H42O7,502.6,3.4,2.0,7.0,,False,True,True,True,False
Rutin,5280805.0,C27H30O16,610.5,-1.3,10.0,16.0,,False,True,False,False,False
Scopoletin,5280460.0,C10H8O4,192.17,1.5,1.0,4.0,,True,True,True,True,True
Sitoindoside Ix,189586.0,C34H48O11,632.7,1.7,5.0,11.0,,False,True,True,False,False
Sitoindoside X,189702.0,C50H78O12,871.1,9.0,4.0,12.0,,False,False,True,False,False
Solasodine,442985.0,C27H43NO2,413.6,5.4,2.0,3.0,,True,False,True,True,False
Sominone,44249449.0,C28H42O5,458.6,4.7,3.0,5.0,,True,True,True,True,True
Somnifericin,101687980.0,C28H42O7,490.6,2.8,4.0,7.0,,True,True,True,True,True
Somniferine,14106342.0,C36H36N2O7,608.7,2.6,2.0,9.0,,False,True,True,True,False
Stearic Acid,5281.0,C18H36O2,284.5,7.4,1.0,2.0,,True,False,True,True,False
Stigmasterol,5280794.0,C29H48O,412.7,8.6,1.0,1.0,,True,False,True,True,False
Stigmasterol Glucoside,6602508.0,C35H58O6,574.8,7.0,4.0,6.0,,False,False,True,True,False
Stigmasterone,14807783.0,C29H46O,410.7,8.2,0.0,1.0,,True,False,True,True,False
Substance B,433154.0,C35H44O13,672.7,2.8,1.0,13.0,,False,True,True,False,False
Sucrose,5988.0,C12H22O11,342.3,-3.7,8.0,11.0,,True,True,False,False,False
Tropine,449293.0,C8H15NO,141.21,0.8,1.0,2.0,,True,True,True,True,True
Viscosalactone B,57403080.0,C28H40O7,488.6,2.8,3.0,7.0,,True,True,True,True,True
Withacnistin,54606507.0,C30H40O7,512.6,3.7,1.0,7.0,,False,True,True,True,False
Withaferin A,265237.0,C28H38O6,470.6,3.8,2.0,6.0,,True,True,True,True,True
Withanicandrin,91809632.0,C28H36O6,468.6,3.0,1.0,6.0,,True,True,True,True,True
Withanolide A,11294368.0,C28H38O6,470.6,3.3,2.0,6.0,,True,True,True,True,True
Withanolide B,14236711.0,C28H38O5,454.6,4.7,1.0,5.0,,True,True,True,True,True
Withanolide C,101559583.0,C28H39ClO7,523.1,2.0,4.0,7.0,,False,True,True,True,False
Withanolide D,161671.0,C28H38O6,470.6,3.1,2.0,6.0,,True,True,True,True,True
Withanolide E,301751.0,C28H38O7,486.6,1.7,3.0,7.0,,True,True,True,True,True
Withanolide F,44562998.0,C28H38O6,470.6,2.3,3.0,6.0,,True,True,True,True,True
Withanolide L,179575.0,C28H36O5,452.6,2.9,2.0,5.0,,True,True,True,True,True
Withanolide S,11049407.0,C28H40O8,504.6,0.8,5.0,8.0,,False,True,True,True,False
Withanone,21679027.0,C28H38O6,470.6,3.1,2.0,6.0,,True,True,True,True,True
Withanoside Iv,71312551.0,C40H62O15,782.9,1.0,9.0,15.0,,False,True,False,False,False
Withanoside Vi,91827019.0,C40H62O15,782.9,0.3,9.0,15.0,,False,True,False,False,False
Withasomnine,442877.0,C12H12N2,184.24,2.2,0.0,1.0,,True,True,True,True,True
